v,alpha,l,q_value
11.0,0.05,8,3.08
11.0,0.05,9,3.14
11.0,0.05,10,3.19
11.0,0.05,11,3.23
11.0,0.05,13,3.3
11.0,0.05,15,3.36
11.0,0.05,17,3.42
11.0,0.05,19,3.46
11.0,0.05,21,3.5
11.0,0.1,3,2.13
11.0,0.1,4,2.31
11.0,0.1,5,2.43
11.0,0.1,6,2.53
11.0,0.1,7,2.6
11.0,0.1,8,2.66
11.0,0.1,9,2.72
11.0,0.1,10,2.76
11.0,0.1,11,2.8
11.0,0.1,13,2.87
11.0,0.1,15,2.93
11.0,0.1,17,2.98
11.0,0.1,19,3.03
11.0,0.1,21,3.06
12.0,0.01,3,3.39
12.0,0.01,4,3.58
12.0,0.01,5,3.71
12.0,0.01,6,3.81
12.0,0.01,7,3.89
12.0,0.01,8,3.96
12.0,0.01,9,4.02
12.0,0.01,10,4.07
12.0,0.01,11,4.12
12.0,0.01,13,4.19
12.0,0.01,15,4.26
12.0,0.01,17,4.32
12.0,0.01,19,4.37
12.0,0.01,21,4.41
12.0,0.05,3,2.5
12.0,0.05,4,2.68
12.0,0.05,5,2.81
12.0,0.05,6,2.9
12.0,0.05,7,2.98
12.0,0.05,8,3.04
12.0,0.05,9,3.09
12.0,0.05,10,3.14
12.0,0.05,11,3.18
12.0,0.05,13,3.25
12.0,0.05,15,3.31
12.0,0.05,17,3.36
12.0,0.05,19,3.41
12.0,0.05,21,3.45
12.0,0.1,3,2.11
12.0,0.1,4,2.29
12.0,0.1,5,2.41
12.0,0.1,6,2.5
12.0,0.1,7,2.57
12.0,0.1,8,2.64
12.0,0.1,9,2.69
12.0,0.1,10,2.73
12.0,0.1,11,2.77
12.0,0.1,13,2.84
12.0,0.1,15,2.9
12.0,0.1,17,2.95
12.0,0.1,19,2.99
12.0,0.1,21,3.03
14.0,0.01,3,3.29
14.0,0.01,4,3.47
14.0,0.01,5,3.59
14.0,0.01,6,3.69
14.0,0.01,7,3.76
14.0,0.01,8,3.83
14.0,0.01,9,3.88
14.0,0.01,10,3.93
14.0,0.01,11,3.97
14.0,0.01,13,4.05
14.0,0.01,15,4.11
14.0,0.01,17,4.16
14.0,0.01,19,4.2
14.0,0.01,21,4.25
14.0,0.05,3,2.46
14.0,0.05,4,2.63
14.0,0.05,5,2.75
14.0,0.05,6,2.84
14.0,0.05,7,2.91
14.0,0.05,8,2.97
14.0,0.05,9,3.02
14.0,0.05,10,3.07
14.0,0.05,11,3.11
14.0,0.05,13,3.18
14.0,0.05,15,3.23
14.0,0.05,17,3.28
14.0,0.05,19,3.32
14.0,0.05,21,3.36
14.0,0.1,3,2.08
14.0,0.1,4,2.25
14.0,0.1,5,2.37
14.0,0.1,6,2.46
14.0,0.1,7,2.53
14.0,0.1,8,2.59
14.0,0.1,9,2.64
14.0,0.1,10,2.68
14.0,0.1,11,2.72
14.0,0.1,13,2.79
14.0,0.1,15,2.84
14.0,0.1,17,2.89
14.0,0.1,19,2.93
14.0,0.1,21,2.97
16.0,0.01,3,3.22
16.0,0.01,4,3.39
16.0,0.01,5,3.51
16.0,0.01,6,3.6
16.0,0.01,7,3.67
16.0,0.01,8,3.73
16.0,0.01,9,3.78
16.0,0.01,10,3.83
16.0,0.01,11,3.87
16.0,0.01,13,3.94
16.0,0.01,15,4.0
16.0,0.01,17,4.05
16.0,0.01,19,4.09
16.0,0.01,21,4.13
16.0,0.05,3,2.42
16.0,0.05,4,2.59
16.0,0.05,5,2.71
16.0,0.05,6,2.8
16.0,0.05,7,2.87
16.0,0.05,8,2.92
16.0,0.05,9,2.97
16.0,0.05,10,3.02
16.0,0.05,11,3.06
16.0,0.05,13,3.12
16.0,0.05,15,3.18
16.0,0.05,17,3.22
16.0,0.05,19,3.26
16.0,0.05,21,3.3
16.0,0.1,3,2.06
16.0,0.1,4,2.23
16.0,0.1,5,2.34
16.0,0.1,6,2.43
16.0,0.1,7,2.5
16.0,0.1,8,2.56
16.0,0.1,9,2.61
16.0,0.1,10,2.65
16.0,0.1,11,2.69
16.0,0.1,13,2.75
16.0,0.1,15,2.8
16.0,0.1,17,2.85
16.0,0.1,19,2.89
16.0,0.1,21,2.93
18.0,0.01,3,3.17
18.0,0.01,4,3.33
18.0,0.01,5,3.44
18.0,0.01,6,3.53
18.0,0.01,7,3.6
18.0,0.01,8,3.66
18.0,0.01,9,3.71
18.0,0.01,10,3.75
18.0,0.01,11,3.79
18.0,0.01,13,3.86
18.0,0.01,15,3.91
18.0,0.01,17,3.96
18.0,0.01,19,4.0
18.0,0.01,21,4.04
18.0,0.05,3,2.4
18.0,0.05,4,2.56
18.0,0.05,5,2.68
18.0,0.05,6,2.76
18.0,0.05,7,2.83
18.0,0.05,8,2.89
18.0,0.05,9,2.94
18.0,0.05,10,2.98
18.0,0.05,11,3.01
18.0,0.05,13,3.08
18.0,0.05,15,3.13
18.0,0.05,17,3.18
18.0,0.05,19,3.22
18.0,0.05,21,3.25
18.0,0.1,3,2.04
18.0,0.1,4,2.21
18.0,0.1,5,2.32
18.0,0.1,6,2.41
18.0,0.1,7,2.47
18.0,0.1,8,2.53
18.0,0.1,9,2.58
18.0,0.1,10,2.62
18.0,0.1,11,2.66
18.0,0.1,13,2.72
18.0,0.1,15,2.77
18.0,0.1,17,2.82
18.0,0.1,19,2.86
18.0,0.1,21,2.89
20.0,0.01,3,3.13
20.0,0.01,4,3.29
20.0,0.01,5,3.4
20.0,0.01,6,3.48
20.0,0.01,7,3.55
20.0,0.01,8,3.6
20.0,0.01,9,3.65
20.0,0.01,10,3.69
20.0,0.01,11,3.73
20.0,0.01,13,3.8
20.0,0.01,15,3.85
20.0,0.01,17,3.9
20.0,0.01,19,3.94
20.0,0.01,21,3.97
20.0,0.05,3,2.38
20.0,0.05,4,2.54
20.0,0.05,5,2.65
20.0,0.05,6,2.73
20.0,0.05,7,2.8
20.0,0.05,8,2.86
20.0,0.05,9,2.9
20.0,0.05,10,2.95
20.0,0.05,11,2.98
20.0,0.05,13,3.05
20.0,0.05,15,3.1
20.0,0.05,17,3.14
20.0,0.05,19,3.18
20.0,0.05,21,3.22
20.0,0.1,3,2.03
20.0,0.1,4,2.19
20.0,0.1,5,2.3
20.0,0.1,6,2.39
20.0,0.1,7,2.46
20.0,0.1,8,2.51
20.0,0.1,9,2.56
20.0,0.1,10,2.6
20.0,0.1,11,2.64
20.0,0.1,13,2.7
20.0,0.1,15,2.75
20.0,0.1,17,2.79
20.0,0.1,19,2.83
20.0,0.1,21,2.87
24.0,0.01,3,3.07
24.0,0.01,4,3.22
24.0,0.01,5,3.32
24.0,0.01,6,3.4
24.0,0.01,7,3.47
24.0,0.01,8,3.52
24.0,0.01,9,3.57
24.0,0.01,10,3.61
24.0,0.01,11,3.64
24.0,0.01,13,3.7
24.0,0.01,15,3.76
24.0,0.01,17,3.8
24.0,0.01,19,3.84
24.0,0.01,21,3.87
24.0,0.05,3,2.35
24.0,0.05,4,2.51
24.0,0.05,5,2.61
24.0,0.05,6,2.7
24.0,0.05,7,2.76
24.0,0.05,8,2.81
24.0,0.05,9,2.86
24.0,0.05,10,2.9
24.0,0.05,11,2.94
24.0,0.05,13,3.0
24.0,0.05,15,3.05
24.0,0.05,17,3.09
24.0,0.05,19,3.13
24.0,0.05,21,3.16
24.0,0.1,3,2.01
24.0,0.1,4,2.17
24.0,0.1,5,2.28
24.0,0.1,6,2.36
24.0,0.1,7,2.43
24.0,0.1,8,2.48
24.0,0.1,9,2.53
24.0,0.1,10,2.57
24.0,0.1,11,2.6
24.0,0.1,13,2.66
24.0,0.1,15,2.71
24.0,0.1,17,2.76
24.0,0.1,19,2.79
24.0,0.1,21,2.83
30.0,0.01,3,3.01
30.0,0.01,4,3.15
30.0,0.01,5,3.25
30.0,0.01,6,3.33
30.0,0.01,7,3.39
30.0,0.01,8,3.44
30.0,0.01,9,3.49
30.0,0.01,10,3.52
30.0,0.01,11,3.56
30.0,0.01,13,3.62
30.0,0.01,15,3.66
30.0,0.01,17,3.71
30.0,0.01,19,3.74
30.0,0.01,21,3.77
30.0,0.05,3,2.32
30.0,0.05,4,2.47
30.0,0.05,5,2.58
30.0,0.05,6,2.66
30.0,0.05,7,2.72
30.0,0.05,8,2.77
30.0,0.05,9,2.82
30.0,0.05,10,2.86
30.0,0.05,11,2.89
30.0,0.05,13,2.95
30.0,0.05,15,3.0
30.0,0.05,17,3.04
30.0,0.05,19,3.08
30.0,0.05,21,3.11
30.0,0.1,3,1.99
30.0,0.1,4,2.15
30.0,0.1,5,2.25
30.0,0.1,6,2.33
30.0,0.1,7,2.4
30.0,0.1,8,2.45
30.0,0.1,9,2.5
30.0,0.1,10,2.54
30.0,0.1,11,2.57
30.0,0.1,13,2.63
30.0,0.1,15,2.68
30.0,0.1,17,2.72
30.0,0.1,19,2.76
30.0,0.1,21,2.79
40.0,0.01,3,2.95
40.0,0.01,4,3.09
40.0,0.01,5,3.19
40.0,0.01,6,3.26
40.0,0.01,7,3.32
40.0,0.01,8,3.37
40.0,0.01,9,3.41
40.0,0.01,10,3.44
40.0,0.01,11,3.48
40.0,0.01,13,3.53
40.0,0.01,15,3.58
40.0,0.01,17,3.62
40.0,0.01,19,3.65
40.0,0.01,21,3.68
40.0,0.05,3,2.29
40.0,0.05,4,2.44
40.0,0.05,5,2.54
40.0,0.05,6,2.62
40.0,0.05,7,2.68
40.0,0.05,8,2.73
40.0,0.05,9,2.77
40.0,0.05,10,2.81
40.0,0.05,11,2.85
40.0,0.05,13,2.9
40.0,0.05,15,2.95
40.0,0.05,17,2.99
40.0,0.05,19,3.02
40.0,0.05,21,3.06
40.0,0.1,3,1.97
40.0,0.1,4,2.13
40.0,0.1,5,2.23
40.0,0.1,6,2.31
40.0,0.1,7,2.37
40.0,0.1,8,2.42
40.0,0.1,9,2.47
40.0,0.1,10,2.51
40.0,0.1,11,2.54
40.0,0.1,13,2.6
40.0,0.1,15,2.65
40.0,0.1,17,2.69
40.0,0.1,19,2.72
40.0,0.1,21,2.75
60.0,0.01,3,2.9
60.0,0.01,4,3.03
60.0,0.01,5,3.12
60.0,0.01,6,3.19
60.0,0.01,7,3.25
60.0,0.01,8,3.29
60.0,0.01,9,3.33
60.0,0.01,10,3.37
60.0,0.01,11,3.4
60.0,0.01,13,3.45
60.0,0.01,15,3.49
60.0,0.01,17,3.53
60.0,0.01,19,3.56
60.0,0.01,21,3.59
60.0,0.05,3,2.27
60.0,0.05,4,2.41
60.0,0.05,5,2.51
60.0,0.05,6,2.58
60.0,0.05,7,2.64
60.0,0.05,8,2.69
60.0,0.05,9,2.73
60.0,0.05,10,2.77
60.0,0.05,11,2.8
60.0,0.05,13,2.86
60.0,0.05,15,2.9
60.0,0.05,17,2.94
60.0,0.05,19,2.97
60.0,0.05,21,3.0
60.0,0.1,3,1.95
60.0,0.1,4,2.1
60.0,0.1,5,2.21
60.0,0.1,6,2.28
60.0,0.1,7,2.34
60.0,0.1,8,2.4
60.0,0.1,9,2.44
60.0,0.1,10,2.48
60.0,0.1,11,2.51
60.0,0.1,13,2.57
60.0,0.1,15,2.61
60.0,0.1,17,2.65
60.0,0.1,19,2.69
60.0,0.1,21,2.72
120.0,0.01,3,2.85
120.0,0.01,4,2.97
120.0,0.01,5,3.06
120.0,0.01,6,3.12
120.0,0.01,7,3.18
